한글,French,Example Sentence,Translated Sentence,Explanation
1과,,,,
날씨,"météo, temps",오늘 날씨가 정말 좋아요.,Il fait vraiment beau aujourd’hui.,État du temps.
바람이 강하다,vent fort,바람이 너무 강해요.,Le vent est très fort.,"Rafales, conditions venteuses."
쌀쌀하다,frisquet,아침엔 좀 쌀쌀해요.,Il fait un peu frais le matin.,Frais désagréable.
안개가 끼어 있다,il y a du brouillard,안개가 끼어 많아요,Il y a beaucoup de brouillard.,Visibilité réduite.
태풍이 오다,un typhon arrive,이번 주에 태풍이 와요.,Un typhon arrive cette semaine.,Alerte météo.
태풍이 지나가다,le typhon passe,,Le typhon est déjà passé.,Après l’orage.
햇빛이 강하다,soleil fort,오늘은 햇빛이 아주 강해요.,Le soleil tape fort aujourd’hui.,Protection solaire.
흐리다,temps couvert/grisaille,하늘이 흐려요.,Le ciel est couvert.,Nuageux sans pluie.
여행지,destination de voyage,인기 있는 여행지는 어디예요?,Quelles destinations sont populaires ?,Lieu de voyage.
코스,"parcours, itinéraire",여행 코스를 짰어요.,J’ai monté un itinéraire.,Suite d’étapes.
풍경,paysage,풍경이 정말 아름다워요.,Le paysage est magnifique.,Scènes naturelles/urbaines.
볼거리,choses à voir,볼거리가 많은 도시예요.,Ville avec beaucoup à voir.,"Attractions, spectacles."
대나무 숲,forêt de bambous,대나무 숲을 걸었어요.,J’ai marché dans une bambouseraie.,Site naturel.
동굴,grotte,동굴 관람을 했어요.,J’ai visité une grotte.,Site géologique.
어시장,marché aux poissons,어시장에서 회를 먹었어요.,J’ai mangé du sashimi au marché.,Produits de la mer.
해수욕장,plage (baignade),해수욕장에서 놀았어요.,Je me suis amusé à la plage.,Baignade en mer.
호수,lac,호수 주변을 산책했어요.,J’ai marché autour du lac.,Plan d’eau intérieur.
일기 예보,prévisions météo,일기 예보를 확인하세요.,Vérifiez la météo.,Bulletin météo.
최고 기온,température max,오늘 최고 기온은 28도예요.,Max aujourd’hui: 28°C.,Indicateur météo.
최저 기온,température min,최저 기온은 15도예요.,Min: 15°C.,Indicateur météo.
레스토랑,restaurant,유명한 레스토랑을 예약했어요.,J’ai réservé un resto célèbre.,Emprunt courant.
성당,cathédrale/église cath.,성당에 들렀어요.,Je suis passé à la cathédrale.,Édifice religieux catholique.
한우,bœuf coréen (hanwoo),한우가 정말 맛있어요.,Le hanwoo est délicieux.,Viande premium.
한우가 부드럽다,Le hanwoo est tendre,한우가 아주 부드러워요.,Le hanwoo est très tendre.,Texture/qualité.
메다,porter (sur l’épaule),배낭을 메고 갔어요.,Je suis parti avec un sac à l’épaule.,"Pour sac/arme, etc."
가방을 메다,porter un sac,가방을 메고 출근해요.,Je vais au travail avec un sac.,Collocation fréquente.
조언하다,conseiller,여행 코스를 조언해 주세요.,Conseillez-moi un itinéraire.,Donner un conseil.
이/가 (보다) 낫다,être meilleur (que),이 코스가 그거보다 나아요.,Ce parcours est meilleur que l’autre.,Comparatif de supériorité.
부지런하다,"diligent, matinal",그는 아주 부지런해요.,Il est très diligent.,Opposé de 게으르다.
