한글,French,Example Sentence,Translated Sentence,Explanation
1과,,,,
직장,lieu de travail,새 직장은 집에서 가까워요.,Mon nouveau lieu de travail est proche de la maison.,Terme général pour désigner son entreprise ou son lieu de travail (workplace). Plus formel que 회사 (entreprise).
상사,supérieur / chef,상사에게 보고서를 제출했어요.,J'ai soumis le rapport à mon supérieur.,"Désigne toute personne hiérarchiquement au-dessus de soi (boss, superior). Terme respectueux et formel."
신입 사원,nouvel employé,저는 올해 입사한 신입 사원입니다.,Je suis un nouvel employé qui a rejoint l'entreprise cette année.,"New employee. Personne qui vient de commencer dans une entreprise, souvent juste après ses études."
동아리,club,대학 때 사진 동아리 활동을 했어요.,J'étais dans le club de photo à l'université.,Club étudiant ou groupe de loisirs. Important pour la vie sociale et le développement de compétences.
선배,senior,회사 선배에게 많은 것을 배웠어요.,J'ai beaucoup appris de mes aînés au travail.,"Personne plus âgée ou plus expérimentée dans un groupe (école, entreprise). On leur doit le respect. Opposé : 후배 (junior)."
신입 회원,nouveau membre,동아리 신입 회원을 모집합니다.,Nous recrutons de nouveaux membres pour le club.,"New member. Personne qui vient de rejoindre un club, une association ou un groupe."
많이 도와주세요.,"Aidez-moi beaucoup, s'il vous plaît.","저는 아직 모르는 것이 많으니, 많이 도와주세요.","Il y a encore beaucoup de choses que je ne sais pas, alors aidez-moi beaucoup s'il vous plaît.",Phrase de présentation humble pour demander le soutien de ses collègues ou seniors. Montre une volonté d'apprendre.
모르는 것이 많습니다.,Il y a beaucoup de choses que je ne connais pas.,신입 사원이라 아직 모르는 것이 많습니다.,"Comme je suis un nouvel employé, il y a beaucoup de choses que je ne connais pas encore.",Expression d'humilité utilisée lors d'une présentation pour montrer qu'on est conscient de son inexpérience.
반갑습니다.,Enchanté(e).,만나서 반갑습니다.,Je suis ravi(e) de vous rencontrer.,Formule de salutation standard et polie (Nice to meet you) lorsqu'on rencontre quelqu'un pour la première fois.
앞으로 여러분과 잘 지내고 싶습니다.,J'aimerais bien m'entendre avec vous tous.,앞으로 여러분과 잘 지내고 싶습니다. 잘 부탁드립니다.,J'espère bien m'entendre avec vous tous. Je compte sur votre bienveillance.,"Phrase de conclusion d'une présentation, exprimant le souhait d'établir de bonnes relations avec le groupe."
앞으로 열심히 하겠습니다.,Je travaillerai dur à l'avenir.,부족하지만 앞으로 열심히 하겠습니다.,"Je ne suis pas encore parfait, mais je travaillerai dur.","Promesse de faire de son mieux, utilisée dans les présentations pour montrer sa détermination et sa bonne volonté."
잘 부탁드립니다.,Je compte sur votre bienveillance.,신입 사원 김민준입니다. 잘 부탁드립니다.,Je suis le nouvel employé Kim Min-jun. Je me réjouis de travailler avec vous.,Expression idiomatique intraduisible littéralement. C'est une formule de politesse essentielle pour demander la coopération et le soutien des autres.
처음 뵙겠습니다.,C'est la première fois que je vous rencontre.,"안녕하세요, 처음 뵙겠습니다.","Bonjour, enchanté(e) de faire votre connaissance.",Formule très polie et formelle (Nice to meet you for the first time) utilisée lors d'une première rencontre.
미혼,non-marié,저는 아직 미혼입니다.,Je suis encore célibataire.,Statut marital (unmarried/single). Information souvent demandée dans des contextes formels ou personnels. Opposé : 기혼 (marié).
사회학,sociologie,대학에서 사회학을 전공했어요.,Je me suis spécialisé(e) en sociologie à l'université.,Le domaine d'étude académique (sociology).
자기소개,présentation de soi,면접 때 1분 자기소개를 준비해야 해요.,Il faut préparer une présentation de soi d'une minute pour l'entretien.,Self-introduction. Acte de se présenter à un groupe ou à une personne.
근무하다,travailler (dans un lieu),저는 서울 본사에서 근무합니다.,Je travaille au siège de Séoul.,Verbe formel pour indiquer son lieu de travail ou ses heures de travail (to work).
궁금하다,être curieux,그 사람에 대해 궁금한 것이 많아요.,Je suis curieux/curieuse à propos de beaucoup de choses sur cette personne.,Le sentiment de vouloir savoir quelque chose (to be curious).
똑똑하다,être intelligent,그 친구는 정말 똑똑해요.,Cet ami est vraiment intelligent.,"Qualifie quelqu'un d'intelligent, de vif d'esprit (to be smart)."
적다,être peu nombreux / en petite quantité,시간이 너무 적어요.,Il y a trop peu de temps.,Adjectif qui indique une petite quantité ou un petit nombre (to be few/little). Opposé : 많다 (être nombreux).
활발하다,être actif / dynamique,그는 성격이 활발해서 친구가 많아요.,"Il a une personnalité dynamique, donc il a beaucoup d'amis.","Qualifie une personne énergique, sociable et extravertie (to be active/lively)."
우연히,par hasard,길에서 우연히 친구를 만났어요.,J'ai rencontré un ami dans la rue par hasard.,"Adverbe qui indique qu'un événement s'est produit de manière inattendue (by chance, accidentally)."
성격이 맞다,avoir des personnalités compatibles,우리는 성격이 잘 맞아서 좋은 친구가 됐어요.,Nous sommes devenus de bons amis car nos personnalités sont compatibles.,Expression pour dire que deux personnes s'entendent bien (personalities match).
성격이 조용하다,avoir une personnalité calme,저는 성격이 조용한 편이에요.,J'ai plutôt une personnalité calme.,"Décrit une personne réservée, introvertie (to have a quiet personality)."
"아, 참!","Ah, au fait !","아, 참! 깜빡했어요.","Ah, au fait ! J'ai oublié.","Interjection utilisée quand on se souvient soudainement de quelque chose (Oh, by the way!)."
어디 가는 길이에요?,Où allez-vous ?,"안녕하세요, 어디 가는 길이에요?","Bonjour, où allez-vous comme ça ?",Phrase pour demander poliment la destination de quelqu'un qu'on croise (Where are you on your way to?).
국적,nationalité,국적이 어디예요?,Quelle est votre nationalité ?,L'appartenance légale à une nation (nationality).
꿈,rêve,제 꿈은 세계 일주를 하는 것입니다.,Mon rêve est de faire le tour du monde.,"Aspiration, but dans la vie (dream), ou ce que l'on voit en dormant."
미팅,blind date,주말에 미팅이 있어요.,"J'ai un ""meeting"" ce week-end.","En Corée, ""meeting"" (미팅) fait souvent référence à un rendez-vous arrangé en groupe (group blind date). Peut aussi signifier une réunion professionnelle."
이것저것,ceci cela,가게에서 이것저것 샀어요.,J'ai acheté diverses choses au magasin.,This and that. Expression pour désigner plusieurs choses variées sans les nommer.
이웃,voisin,이웃과 사이좋게 지내요.,Je m'entends bien avec mes voisins.,Personne qui habite à côté (neighbor).
자기,soi-même / chéri(e),먼저 자기 자신을 사랑해야 해요.,Il faut d'abord s'aimer soi-même.,"Pronom réfléchi (oneself). Peut aussi être un terme d'affection entre couples (honey, darling)."
평일,jour de semaine,평일에는 일하고 주말에는 쉬어요.,Je travaille les jours de semaine et je me repose le week-end.,Du lundi au vendredi (weekday). Opposé : 주말 (week-end).
해외,étranger / outre-mer,해외 여행을 가고 싶어요.,Je veux voyager à l'étranger.,Terme qui désigne les pays étrangers (overseas).
해외 출장,voyage d'affaires à l'étranger,다음 주에 해외 출장을 가요.,Je pars en voyage d'affaires à l'étranger la semaine prochaine.,Overseas business trip.
활동,activité,동아리 활동을 열심히 하고 있어요.,Je participe activement aux activités du club.,Action ou participation à un événement ou un groupe (activity).
(-에) 들어오다,entrer / rejoindre,동아리에 새로 들어왔어요.,J'ai récemment rejoint le club.,Verbe qui signifie entrer (to come in) ou rejoindre une organisation.
회사에 들어오다,rejoindre une entreprise,작년에 이 회사에 들어왔어요.,J'ai rejoint cette entreprise l'année dernière.,Expression courante pour dire qu'on a été embauché (to join a company). Synonyme : 입사하다.
함께,ensemble,친구와 함께 영화를 봤어요.,J'ai regardé un film avec un ami.,"Adverbe signifiant ""ensemble"" (together). Synonyme : 같이."
신문 기자,journaliste (presse écrite),그의 직업은 신문 기자입니다.,Son métier est journaliste.,Newspaper reporter/journalist.
,,,,
2과,,,,
건물,bâtiment,이 건물은 신축이에요.,Ce bâtiment est de construction récente.,"Terme général pour toute construction (building) : école, bibliothèque, dortoir. Utilisé pour localiser un lieu sur un plan ou donner une adresse."
강의실,salle de cours,강의실이 바뀌었어요.,La salle de cours a changé.,Pièce où se tiennent les cours magistraux ou les TD (lecture room/classroom). Essentiel pour suivre son emploi du temps.
편의점,supérette,편의점에서 간단히 먹을 것을 샀어요.,J'ai acheté quelque chose de simple à manger à la supérette.,"Convenience store (souvent 24/7). On y achète snacks, boissons, fournitures de base. Très présent sur les campus."
보건실,infirmerie,어지러워서 보건실에 다녀왔어요.,"J'avais la tête qui tourne, donc je suis allé(e) à l'infirmerie.","Health room sur le campus. Pour les premiers soins, médicaments de base, ou un court repos en cas de malaise."
컴퓨터실,salle informatique,과제 때문에 컴퓨터실에서 작업했어요.,J'ai travaillé dans la salle informatique pour un devoir.,"Computer lab avec des ordinateurs en libre-service, imprimantes et logiciels spécifiques. Indispensable pour les étudiants."
탁구장,salle de ping-pong,점심시간에 탁구장에서 운동했어요.,J'ai fait du sport dans la salle de ping-pong pendant la pause déjeuner.,Espace sportif (table tennis room) souvent disponible sur les campus pour la détente et le loisir des étudiants.
과,département (académique),어느 과 학생이세요?,De quel département êtes-vous étudiant ?,"Abréviation de 학과 (department). Désigne la spécialité d'un étudiant (ex: département de littérature, d'ingénierie)."
교환 학생,étudiant d'échange,저는 이번 학기 교환 학생입니다.,Je suis un étudiant d'échange ce semestre.,Exchange student qui étudie pour un ou deux semestres dans une université partenaire à l'étranger.
보고서,rapport,보고서를 제출해야 해요.,Je dois rendre un rapport.,"Devoir écrit structuré (report) qui demande une analyse, une recherche ou une synthèse sur un sujet donné."
(보고서를) 제출하다,soumettre (un rapport),보고서를 기한 내에 제출했어요.,J’ai remis le rapport dans les délais.,"Soumission officielle (rapport, devoir, formulaire)."
학생증,carte d'étudiant,학생증으로 도서관에 들어가요.,J'entre dans la bibliothèque avec ma carte d'étudiant.,"Student ID card. Sert de pièce d'identité sur le campus, pour emprunter des livres, accéder aux bâtiments, etc."
학점,crédits / note,이번 학기에 18학점을 들어요.,Je prends 18 crédits ce semestre.,Représente la charge de cours (credits) ou la note obtenue (grade/GPA). Un élément central de la vie universitaire.
후배,junior,후배들에게 조언해 줬어요.,J'ai donné des conseils aux juniors.,Désigne un étudiant plus jeune ou moins avancé dans le cursus. Opposé de 선배 (senior).
동아리,club étudiant,동아리에 가입했어요.,J'ai rejoint un club.,"Club activity (sport, culture, bénévolat). Un aspect très important de la vie sociale sur les campus coréens."
가입하다,adhérer / rejoindre,사진 동아리에 가입했어요.,J'ai rejoint le club de photo.,"Verbe pour s'inscrire officiellement à un club, un service en ligne, etc. (to join)."
신청하다,postuler / s'inscrire,교환 학생 프로그램을 신청했어요.,J'ai postulé au programme d'échange.,"Action de soumettre une demande formelle (to apply) pour un programme, un cours, une bourse."
